"filename", "language", "Batch", "Python", "Properties", "PowerShell", "Markdown", "XML", "comment", "blank", "total"
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\req\req_file.py", "Python", 0, 225, 0, 0, 0, 0, 111, 47, 383
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\req\req_install.py", "Python", 0, 728, 0, 0, 0, 0, 202, 92, 1022
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\req\req_set.py", "Python", 0, 128, 0, 0, 0, 0, 43, 27, 198
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\req\req_tracker.py", "Python", 0, 67, 0, 0, 0, 0, 7, 15, 89
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\req\req_uninstall.py", "Python", 0, 408, 0, 0, 0, 0, 102, 87, 597
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\resolve.py", "Python", 0, 234, 0, 0, 0, 0, 109, 51, 394
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\utils\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\utils\appdirs.py", "Python", 0, 118, 0, 0, 0, 0, 117, 36, 271
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\utils\compat.py", "Python", 0, 146, 0, 0, 0, 0, 78, 41, 265
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\utils\deprecation.py", "Python", 0, 40, 0, 0, 0, 0, 32, 19, 91
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\utils\encoding.py", "Python", 0, 28, 0, 0, 0, 0, 5, 7, 40
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\utils\filesystem.py", "Python", 0, 20, 0, 0, 0, 0, 6, 5, 31
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\utils\glibc.py", "Python", 0, 38, 0, 0, 0, 0, 41, 15, 94
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\utils\hashes.py", "Python", 0, 52, 0, 0, 0, 0, 42, 22, 116
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\utils\logging.py", "Python", 0, 203, 0, 0, 0, 0, 61, 55, 319
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\utils\misc.py", "Python", 0, 628, 0, 0, 0, 0, 276, 137, 1041
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\utils\models.py", "Python", 0, 23, 0, 0, 0, 0, 4, 14, 41
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\utils\outdated.py", "Python", 0, 106, 0, 0, 0, 0, 30, 29, 165
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\utils\packaging.py", "Python", 0, 55, 0, 0, 0, 0, 14, 17, 86
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\utils\setuptools_build.py", "Python", 0, 7, 0, 0, 0, 0, 1, 1, 9
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\utils\temp_dir.py", "Python", 0, 74, 0, 0, 0, 0, 61, 21, 156
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\utils\typing.py", "Python", 0, 1, 0, 0, 0, 0, 27, 2, 30
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\utils\ui.py", "Python", 0, 249, 0, 0, 0, 0, 100, 93, 442
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\vcs\__init__.py", "Python", 0, 279, 0, 0, 0, 0, 185, 71, 535
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\vcs\bazaar.py", "Python", 0, 85, 0, 0, 0, 0, 8, 22, 115
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\vcs\git.py", "Python", 0, 238, 0, 0, 0, 0, 76, 56, 370
